Date,Open,High,Low,Close,Adj Close,Volume
22-06-2021,45.029999,45.029999,45.029999,45.029999,44.2047,0
23-06-2021,44.959999,44.959999,44.959999,44.959999,44.135983,0
24-06-2021,45.25,45.25,45.25,45.25,44.42067,0
25-06-2021,45.580002,45.580002,45.580002,45.580002,44.744621,0
28-06-2021,45.400002,45.400002,45.400002,45.400002,44.567921,0
29-06-2021,45.369999,45.369999,45.369999,45.369999,44.538467,0
30-06-2021,45.470001,45.470001,45.470001,45.470001,44.636639,0
01-07-2021,45.779999,45.779999,45.779999,45.779999,44.940952,0
02-07-2021,45.900002,45.900002,45.900002,45.900002,45.058758,0
06-07-2021,45.52,45.52,45.52,45.52,44.685719,0
07-07-2021,45.630001,45.630001,45.630001,45.630001,44.793705,0
08-07-2021,45.150002,45.150002,45.150002,45.150002,44.322502,0
09-07-2021,45.860001,45.860001,45.860001,45.860001,45.019489,0
12-07-2021,45.98,45.98,45.98,45.98,45.137287,0
13-07-2021,45.560001,45.560001,45.560001,45.560001,44.724987,0
14-07-2021,45.490002,45.490002,45.490002,45.490002,44.656273,0
15-07-2021,45.369999,45.369999,45.369999,45.369999,44.538467,0
16-07-2021,45.02,45.02,45.02,45.02,44.194885,0
19-07-2021,44.209999,44.209999,44.209999,44.209999,43.399727,0
20-07-2021,45.060001,45.060001,45.060001,45.060001,44.234154,0
21-07-2021,45.509998,45.509998,45.509998,45.509998,44.675903,0
22-07-2021,45.389999,45.389999,45.389999,45.389999,44.558102,0
23-07-2021,45.77,45.77,45.77,45.77,44.931137,0
26-07-2021,45.900002,45.900002,45.900002,45.900002,45.058758,0
27-07-2021,45.810001,45.810001,45.810001,45.810001,44.970406,0
28-07-2021,45.82,45.82,45.82,45.82,44.980221,0
29-07-2021,46.169998,46.169998,46.169998,46.169998,45.323807,0
30-07-2021,46.049999,46.049999,46.049999,46.049999,45.206005,0
02-08-2021,45.970001,45.970001,45.970001,45.970001,45.127472,0
03-08-2021,46.349998,46.349998,46.349998,46.349998,45.500507,0
04-08-2021,45.950001,45.950001,45.950001,45.950001,45.107841,0
05-08-2021,46.27,46.27,46.27,46.27,45.421974,0
06-08-2021,46.48,46.48,46.48,46.48,45.628124,0
09-08-2021,46.380001,46.380001,46.380001,46.380001,45.529961,0
10-08-2021,46.580002,46.580002,46.580002,46.580002,45.726295,0
11-08-2021,46.869999,46.869999,46.869999,46.869999,46.010975,0
12-08-2021,46.860001,46.860001,46.860001,46.860001,46.00116,0
13-08-2021,46.849998,46.849998,46.849998,46.849998,45.991341,0
16-08-2021,46.869999,46.869999,46.869999,46.869999,46.010975,0
17-08-2021,46.5,46.5,46.5,46.5,45.647758,0
18-08-2021,46.02,46.02,46.02,46.02,45.176556,0
19-08-2021,45.939999,45.939999,45.939999,45.939999,45.098022,0
20-08-2021,46.27,46.27,46.27,46.27,45.421974,0
23-08-2021,46.599998,46.599998,46.599998,46.599998,45.745926,0
24-08-2021,46.799999,46.799999,46.799999,46.799999,45.942261,0
25-08-2021,47.049999,47.049999,47.049999,47.049999,46.187679,0
26-08-2021,46.709999,46.709999,46.709999,46.709999,45.853909,0
27-08-2021,47.209999,47.209999,47.209999,47.209999,46.344746,0
30-08-2021,47.139999,47.139999,47.139999,47.139999,46.276028,0
31-08-2021,47.139999,47.139999,47.139999,47.139999,46.276028,0
01-09-2021,47.16,47.16,47.16,47.16,46.295662,0
02-09-2021,47.48,47.48,47.48,47.48,46.609798,0
03-09-2021,47.330002,47.330002,47.330002,47.330002,46.462547,0
07-09-2021,46.919998,46.919998,46.919998,46.919998,46.060059,0
08-09-2021,46.889999,46.889999,46.889999,46.889999,46.030609,0
09-09-2021,46.759998,46.759998,46.759998,46.759998,45.902992,0
10-09-2021,46.439999,46.439999,46.439999,46.439999,45.588856,0
13-09-2021,46.57,46.57,46.57,46.57,45.716476,0
14-09-2021,46.220001,46.220001,46.220001,46.220001,45.37289,0
15-09-2021,46.639999,46.639999,46.639999,46.639999,45.785191,0
16-09-2021,46.549999,46.549999,46.549999,46.549999,45.696842,0
17-09-2021,46.169998,46.169998,46.169998,46.169998,45.323807,0
20-09-2021,45.450001,45.450001,45.450001,45.450001,44.617004,0
21-09-2021,45.299999,45.299999,45.299999,45.299999,44.469749,0
